AUD	CAD	EUR	JPY	NZD	NOK	SEK	CHF	GBP
0.08667850	0.00000000	0.14521979	-0.06678740	0.17870179	-0.11531055	-0.06724461	-0.12952407	0.08791234
-0.00823473	0.03877744	-0.00298085	-0.05727093	-0.05273928	-0.00495792	-0.03390808	-0.02539668	-0.09941515
-0.08465323	0.03989027	-0.16933369	0.00839403	-0.10822315	0.07819268	0.16776011	0.16435675	0.00575244
0.04754397	0.04581043	-0.03619842	0.01118514	-0.00664994	0.03885772	0.03796147	0.06432970	0.01724484
-0.00825830	-0.09417518	0.09034175	-0.03077812	0.07299654	-0.10523021	-0.04910228	-0.06904700	0.05480346
0.06183275	-0.00605597	0.05395929	-0.07157962	0.06826809	-0.00095291	-0.00229987	-0.07408800	0.09450461
-0.04532045	-0.00363469	-0.03295332	-0.09877503	-0.06385482	0.03636075	0.09525368	0.03472254	-0.17230535
-0.01444732	0.17712831	0.01498726	0.05651811	-0.02870817	0.04045092	0.02425119	-0.02840370	0.03065564
-0.06621285	0.10747846	-0.09616390	0.06334328	-0.06200988	0.08285825	0.03508102	0.08034552	-0.16031754
-0.00207361	0.05821154	-0.02866116	0.13986441	-0.02664999	0.06646514	-0.03314955	0.02198468	-0.04388792
-0.19403925	0.02133034	0.07681593	0.03477440	-0.18781327	0.00751394	0.06028412	0.00941269	-0.07255154
0.02307494	-0.00118427	0.04051727	-0.06264887	-0.07439604	0.02514581	-0.16368426	-0.04082871	0.04408868
0.09821684	0.01538858	-0.02399775	0.02787447	-0.08837448	-0.01669688	0.03442404	0.07529425	-0.09285833
-0.06262141	0.06847560	-0.03004829	-0.04601916	-0.05007017	0.04236454	0.03452551	-0.02505842	-0.05022654
-0.15975540	0.04470370	-0.00752097	0.10717125	-0.13046674	0.17426276	0.04989391	0.02349343	0.00391947
0.01689227	-0.05766777	0.08253532	0.10507464	-0.02069838	0.08273570	-0.03547181	-0.02662852	-0.01176132
0.00000000	-0.02005623	0.08508619	-0.04830326	0.04595981	-0.10367259	-0.09362502	-0.06912900	0.10683803
0.00000000	0.00000000	-0.04771153	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	-0.12645961
0.10936376	-0.02244582	-0.01344474	-0.00691248	0.02293010	0.07085153	-0.01556949	0.01101795	0.08289920
0.21649284	-0.12938505	0.15467134	-0.19478168	0.22975615	-0.11392372	-0.17317461	-0.17721154	0.13419814
0.02272657	0.02143916	0.01627169	0.00699780	-0.09059524	-0.11455996	-0.10683657	-0.00954953	0.08306054
0.07209612	0.02497582	0.02216182	0.00000000	0.09059524	0.02226767	0.01134620	0.00954953	0.03143658
-0.03291760	-0.04879890	0.07365007	-0.10529228	0.05861086	-0.07797993	-0.05193469	-0.03504308	0.09967123
-0.08259388	0.05117550	0.00734625	-0.16851025	-0.04506606	0.02909982	0.04761328	-0.03671885	-0.01656847
-0.01242623	-0.02854272	-0.03087711	-0.00427136	-0.01354480	0.03353935	-0.02613355	-0.00799361	0.06490048
-0.09142412	0.04516898	0.02793902	-0.01994822	-0.00225859	0.02655633	0.04413166	-0.01599930	-0.00381034
0.03122650	-0.00118701	0.12293402	-0.13602918	0.04736306	-0.05465712	-0.11083175	-0.10600176	0.11454477
-0.03747918	0.00118701	-0.04379580	0.02586361	-0.00675751	0.07669130	0.03817446	0.01288646	-0.04040763
0.06033964	-0.01187412	-0.16310324	0.09304711	-0.09264204	0.08189278	0.13459458	0.12988962	-0.15755834
0.03940887	-0.07143183	-0.01625502	0.01854415	0.05429508	-0.02061950	0.04348080	0.02712637	0.02934291
-0.03940887	0.00715767	-0.06815648	0.09948247	-0.08605318	0.06603645	0.08820530	0.08427414	-0.00254941
-0.08746307	0.08801353	-0.04460805	-0.10661227	0.04308490	0.00740269	-0.02543123	0.03168565	0.06297775
-0.05438630	0.04855499	-0.01489725	-0.11595120	-0.01812676	0.07070651	0.09139778	0.00949338	-0.06871541
0.00837926	-0.01893062	0.04019053	0.04304370	-0.05677990	-0.06182784	0.01026045	-0.00949338	0.03884803
-0.07978211	0.01065125	-0.01784990	-0.04160703	-0.01593483	0.02180565	0.04185754	0.00632955	-0.02864918
-0.04004193	-0.02723409	-0.05367044	-0.01005944	-0.01367117	0.03541648	0.02256079	0.03318879	-0.04147365
